;ID;Ordem;Ponto;Latitude;Longitude;Emissão CO2
0;1;1;Embarcação 04;-21,84325;-41,00089;
1;1;2;Plataforma 01;-24,109335;-39,813312;122,80715181268616
2;2;1;Embarcação 08;-3,532126;-38,80311;
3;2;2;;-5,532126;-31,803109999999997;
4;2;3;;-31,36303;-31,803109999999997;
5;2;4;Plataforma 02;-31,36303;-40,61051;1137,5180287235944
6;3;1;Embarcação 10;-23,79547;-45,3952;
7;3;2;Plataforma 03;-26,244168;-45,708166;82,26331002098343
8;4;1;Embarcação 09;-23,95109;-46,35358;
9;4;2;Plataforma 04;-24,75682;-47,015539;31,077460365943953
10;5;1;Embarcação 06;-22,84982;-43,17784;
11;5;2;Plataforma 05;-24,468399;-43,202861;59,857244289437006
12;6;1;Embarcação 01;-23,01183;-44,31065;
13;6;2;Plataforma 06;-23,812492;-43,288848;78,41399730815442
14;7;1;Embarcação 02;-10,84528;-36,91853;
15;7;2;Plataforma 07;-16,207462;-33,628008;270,00543492882906
16;8;1;Embarcação 03;-6,971611;-34,83998;
17;8;2;Plataforma 08;-10,977465;-28,767821;334,38289416936215
18;9;1;Embarcação 07;-3,71448;-38,49648;
19;9;2;Plataforma 09;-3,335002;-28,780897;386,4500917314677
20;10;1;Embarcação 05;-8,391142;-34,96811;
21;10;2;;-10,391142;-27,968110000000003;
22;10;3;;-24,163783;-27,968110000000003;
23;10;4;Plataforma 10;-24,163783;-32,794469;863,0545176622547
